id,PeriodLS,reconstructed,period_fit
32780000005228,0.5057590145761658,0.5057590145761639,0.08619879158973853
32780000013173,0.4947802174730925,0.13066169141572034,1.0
32780000011446,0.6195666809993149,0.11836748293127604,0.05705957292208397
32780000017180,0.5184915831746374,0.5185495155575452,1.0
32780000017336,0.5797151493581223,0.579772596158766,0.344109678619126
32780000017497,0.4691658780632801,0.13025596466624373,0.9973107821454835
32780000019676,0.7239378953237703,0.7239912471929881,0.9934984560321347
32780000019471,0.6840638954152479,0.6840462176924685,0.3952234383702591
32780000020716,0.6300568411527429,0.21170883090401027,1.0
32780000020455,0.5068810153863834,0.5068709621830796,0.0
32780000025185,0.5027565655003591,0.33608900184307827,1.0
32780000029135,0.60551352598314,0.12052593434595955,0.8330001817760956
32780000032875,0.4404334332609294,0.1783342544788856,1.0
32780000033357,0.3445645839181696,0.34456458391816963,0.003957558570914066
32780000034145,0.4786293083344252,0.3233986907607793,0.5111028177295611
32780000036665,0.3582350773217469,0.4056936291147554,1.0
32780000037291,0.4510706522474307,0.10409219658229352,1.0
32780000042851,0.406180225316923,2.177360527073798,0.00019716550038617608
32780000048710,0.4499550274652249,0.18246319540701308,1.0
32780000050093,0.5491562753217782,0.5491562753217805,1.128542626016582e-07
32780000049167,0.708688437191851,0.7086796302772905,0.0023169778599171353
32780000053252,0.5823612523691676,0.11879308011533929,1.0
32780000053441,0.1015359677792483,0.8744717044512246,0.9999991298496003
32780000054910,0.6477971883471603,0.11075180577903498,1.0
32780000057067,0.4270320694488351,0.2227641086630238,1.0
32780000061892,0.5251715737398688,0.7555838133758179,0.15057288209218345
32780000063072,0.1200423705543496,0.7865984268419333,0.8905786158402621
32780000065718,0.4466004569011556,0.44659124278144013,1.0
32780000067858,0.4480873410647374,0.30917021181148474,1.0
32780000068144,0.6229058044390753,0.6229155710159576,0.5469484021120565
32780000069240,0.3221367979745832,0.3589888554790657,1.0
32780000070344,0.2493120451573729,0.524511589560987,0.9999999989030596
32780000071767,0.4746516374268277,0.2231108954621726,1.0
32780000072231,0.2832071448322885,0.13445251188600768,1.0
32780000070996,0.4391145136457776,0.38024736722720837,0.9999999998457713
32780000075928,0.5302168898214782,0.5302168898214782,0.11395634541050748
32780000078541,0.5866387074959842,0.5866680810445888,8.065316892125196e-08
