id,hjd,mag,err,synthetic
32160000013593,56732.31001612665,14.143,0.03,False
32160000013593,56153.003310793945,14.163,0.016,False
32160000013593,56134.07432042264,14.173,0.015,False
32160000013593,56741.395881174445,14.176,0.016,False
32160000013593,56550.998432337095,14.177,0.02,False
32160000013593,56114.27529898529,14.177,0.016,False
32160000013593,56792.29208308271,14.179,0.018,False
32160000013593,56114.275732595874,14.179,0.016,False
32160000013593,56100.18976213254,14.183,0.017,False
32160000013593,56550.99804148449,14.183,0.019,False
32160000013593,56151.11841588501,14.19,0.017,False
32160000013593,56020.40206378907,14.191,0.014,False
32160000013593,55698.30730389962,14.191,0.014,False
32160000013593,56879.18860535194,14.192,0.017,False
32160000013593,56830.19948797862,14.197,0.015,False
32160000013593,55698.30689845652,14.197,0.015,False
32160000013593,56151.11884901421,14.2,0.018,False
32160000013593,56792.29167530871,14.201,0.02,False
32160000013593,56519.99636920973,14.203,0.018,False
32160000013593,56550.1217254611,14.204,0.019,False
32160000013593,56020.4015294089,14.206,0.017,False
32160000013593,55829.09633400843,14.208,0.021,False
32160000013593,56110.10418089402,14.208,0.016,False
32160000013593,56741.39545901345,14.209,0.017,False
32160000013593,56100.19025816332,14.213,0.018,False
32160000013593,56879.18898051605,14.213,0.016,False
32160000013593,55829.096736389336,14.216,0.019,False
32160000013593,57261.10225716594,14.219,0.019,False
32160000013593,56134.07387530524,14.22,0.019,False
32160000013593,56110.10466927668,14.22,0.015,False
32160000013593,57229.16905635093,14.222,0.017,False
32160000013593,56550.121328449066,14.223,0.019,False
32160000013593,57258.00077982592,14.223,0.019,False
32160000013593,56519.99677605914,14.226,0.017,False
32160000013593,57229.16864615139,14.228,0.019,False
32160000013593,56458.18161732793,14.23,0.019,False
32160000013593,57261.10261348517,14.231,0.018,False
32160000013593,57258.00111445853,14.232,0.017,False
32160000013593,56164.03846589336,14.237,0.017,False
32160000013593,56153.0037282125,14.245,0.017,False
32160000013593,56137.1290788968,14.247,0.014,False
32160000013593,56841.10554861193,14.248,0.02,False
32160000013593,57229.20642813519,14.248,0.019,False
32160000013593,56841.105932025865,14.248,0.018,False
32160000013593,56127.21683902122,14.249,0.017,False
32160000013593,56831.1913169115,14.252,0.023,False
32160000013593,56458.18200454272,14.255,0.018,False
32160000013593,56137.12952398281,14.255,0.014,False
32160000013593,56831.19174528172,14.257,0.022,False
32160000013593,56841.111421598485,14.257,0.018,False
32160000013593,56841.11102712475,14.258,0.018,False
32160000013593,56841.11765213966,14.265,0.017,False
32160000013593,56735.38587898931,14.267,0.022,False
32160000013593,56811.13192769602,14.268,0.022,False
32160000013593,56511.090499310856,14.27,0.017,False
32160000013593,56164.03884665163,14.274,0.017,False
32160000013593,56811.131551944,14.275,0.024,False
32160000013593,56198.07470821562,14.277,0.018,False
32160000013593,56127.21640434858,14.279,0.019,False
32160000013593,56841.11724719585,14.28,0.02,False
32160000013593,57229.20683970496,14.28,0.019,False
32160000013593,55797.19293315428,14.282,0.019,False
32160000013593,56104.11104578849,14.282,0.022,False
32160000013593,56171.1653788889,14.283,0.024,False
32160000013593,56827.18342955283,14.284,0.024,False
32160000013593,55797.19250364998,14.286,0.022,False
32160000013593,56735.38629609975,14.287,0.02,False
32160000013593,56511.09007554849,14.288,0.018,False
32160000013593,56737.286890003146,14.288,0.042,False
32160000013593,56371.37602159067,14.29,0.021,False
32160000013593,56827.18382456573,14.298,0.027,False
32160000013593,56563.05429218911,14.3,0.022,False
32160000013593,56371.37642421935,14.302,0.025,False
32160000013593,56198.0743215604,14.306,0.02,False
32160000013593,56833.141147677925,14.313,0.016,False
32160000013593,56171.16576339465,14.316,0.024,False
32160000013593,55374.34915813644,14.317,0.023,False
32160000013593,56833.14157137702,14.319,0.015,False
32160000013593,56563.05388667874,14.324,0.021,False
32160000013593,56104.1115247258,14.328,0.025,False
32160000013593,57242.0328819109,14.33,0.031,False
32160000013593,56770.33514161681,14.331,0.03,False
32160000013593,56199.081364724894,14.336,0.022,False
32160000013593,57242.03252212426,14.346,0.035,False
32160000013593,56832.22430621149,14.347,0.021,False
32160000013593,55374.3495626536,14.348,0.022,False
32160000013593,56371.39360644411,14.35,0.02,False
32160000013593,56191.06622430411,14.354,0.018,False
32160000013593,56371.39401530391,14.355,0.018,False
32160000013593,56737.287297562034,14.365,0.043,False
32160000013593,56024.398082130414,14.372,0.019,False
32160000013593,56832.22472783111,14.377,0.022,False
32160000013593,56851.172203778566,14.377,0.019,False
32160000013593,56770.33474697415,14.383,0.042,False
32160000013593,56381.35436404966,14.385,0.019,False
32160000013593,56381.35372156844,14.387,0.02,False
32160000013593,56024.39757863335,14.389,0.021,False
32160000013593,56199.0809883538,14.391,0.024,False
32160000013593,56191.06663613479,14.393,0.018,False
32160000013593,56131.13253108323,14.404,0.018,False
32160000013593,55305.33488209109,14.408,0.018,False
32160000013593,57260.99773169828,14.408,0.021,False
32160000013593,55696.28908132235,14.411,0.021,False
32160000013593,57260.99740627596,14.411,0.024,False
32160000013593,56146.22716616642,14.413,0.023,False
32160000013593,56159.01030370353,14.414,0.023,False
32160000013593,56131.13297681204,14.421,0.017,False
32160000013593,56845.99413951978,14.437,0.027,False
32160000013593,56851.17260373591,14.438,0.018,False
32160000013593,56105.16477408133,14.44,0.024,False
32160000013593,56146.22673264454,14.446,0.025,False
32160000013593,55305.33456531379,14.446,0.022,False
