bm_src_id,vs_type,obs_threshold,cnt,PeriodLS,median_hjd,tile
32470000003975,ECL-NC,131,127,0.1383641284877368,56283.66953816546,b247
32470000004077,ECL-NC,133,133,0.4191178370858168,-1.0,b247
32470000004126,RRLyr-RRab,21,203,0.5808448845405165,56379.40675171223,b247
32470000004751,ECL-C,116,115,0.2304787509803716,-1.0,b247
32470000007079,ECL-NC,44,67,0.3181740794787988,56486.66959599689,b247
32470000007448,ECL-NC,101,101,0.5998755689305705,-1.0,b247
32470000012230,ECL-NC,99,99,0.2348777394581739,-1.0,b247
32470000013502,ECL-NC,130,129,0.4259413745058046,-1.0,b247
32470000011168,ECL-NC,134,132,0.3084297516404204,-1.0,b247
32470000011367,ECL-NC,35,35,0.2200361148523276,-1.0,b247
32470000011421,ECL-NC,135,133,0.4558671357152565,56809.18601568105,b247
32470000011620,ECL-C,110,110,0.2285088942530399,-1.0,b247
32470000011800,ECL-NC,12,136,0.1302442455236607,56461.132367672566,b247
32470000011894,ECL-C,126,126,0.1615649871228499,-1.0,b247
32470000008983,ECL-NC,202,199,0.261557471421723,56124.111506966656,b247
32470000002418,ECL-NC,56,56,0.1026702989267777,-1.0,b247
32470000002471,RRLyr-RRab,89,188,0.6295178112496279,56379.34811188922,b247
32470000003443,ECL-NC,113,111,0.4534186807032246,-1.0,b247
32470000015024,ECL-NC,117,115,0.9582479709916956,-1.0,b247
32470000015445,ECL-C,56,55,0.1779264929701881,-1.0,b247
32470000015572,ECL-NC,107,107,0.9970226027836238,-1.0,b247
32470000015575,ECL-NC,115,114,0.1949633130324001,-1.0,b247
32470000015883,ECL-NC,114,113,0.1146582550080772,-1.0,b247
32470000016254,ECL-NC,50,50,0.5468981316566008,-1.0,b247
32470000006310,RRLyr-RRab,72,136,0.4396226896974853,56379.28991577556,b247
32470000006478,ECL-NC,124,122,0.8229043939541185,-1.0,b247
32470000009716,ECL-NC,68,67,0.1649457520217124,56160.12157389504,b247
32470000009772,ECL-NC,136,135,2.2398705538509645,56160.120799895165,b247
32470000010124,ECL-NC,107,107,0.2968249822507989,-1.0,b247
32470000013671,ECL-NC,74,73,0.8541045357701952,-1.0,b247
32470000014279,ECL-NC,132,130,0.1532048052063459,-1.0,b247
32470000014515,RRLyr-RRc,136,135,0.1083262183898217,56197.04624392856,b247
32470000014717,ECL-NC,136,136,0.3224637977140418,56124.11150914755,b247
32470000014822,ECL-NC,126,125,0.3337342084549967,-1.0,b247
32470000016515,ECL-NC,103,103,0.1715511796375193,-1.0,b247
32470000017438,ECL-NC,136,130,0.1083851696763902,56122.15778118116,b247
32470000018342,ECL-NC,65,65,0.373111410097211,56133.14646903865,b247
32470000019662,ECL-NC,60,60,0.134555739533761,-1.0,b247
32470000019705,ECL-NC,66,65,0.1911370060124005,-1.0,b247
32470000019820,ECL-NC,122,121,0.4067666042603203,56379.34850542776,b247
32470000019837,ECL-C,101,100,0.3324154416044892,-1.0,b247
32470000020020,ECL-C,13,136,0.1752827144069655,56461.132151770624,b247
32470000020199,ECL-NC,194,191,2.004327209786404,56119.10790651373,b247
32470000020316,ECL-NC,68,68,0.392439788830096,-1.0,b247
32470000020646,ECL-NC,32,136,0.5495110597287253,56376.36290834776,b247
32470000020844,ECL-C,21,135,0.1818073503209281,56375.34083363479,b247
32470000021362,RRLyr-RRab,197,194,0.1269488011917806,56379.40672619431,b247
32470000021679,ECL-NC,56,56,0.4301278376060191,-1.0,b247
32470000021945,ECL-NC,136,131,0.5000388489594678,56486.66922467109,b247
32470000021982,ECL-C,114,113,0.1043976542248756,-1.0,b247
32470000023110,RRLyr-RRab,27,68,0.4952676513741176,56486.66959659245,b247
32470000023695,RRLyr-RRd,29,67,0.3680039038367518,56486.6695973977,b247
32470000024102,ECL-NC,129,127,0.1452595671763166,-1.0,b247
32470000024582,ECL-NC,73,72,0.2427971789596085,-1.0,b247
32470000024611,ECL-NC,136,128,0.3464717955279888,56486.669033222046,b247
32470000025275,ECL-C,80,80,0.8203078450879171,-1.0,b247
32470000025800,ECL-C,102,102,0.1442162583970253,-1.0,b247
32470000026192,ECL-NC,32,32,0.3247290321815967,-1.0,b247
32470000026388,ECL-C,48,48,0.3756018923481276,-1.0,b247
32470000026536,ECL-NC,13,136,3.3104944653765456,56461.13237528676,b247
32470000026597,ECL-NC,108,107,0.2048017221095711,-1.0,b247
32470000026604,ECL-C,66,65,0.1136804974328392,56376.36294057179,b247
32470000026613,ECL-NC,141,137,0.1002926559788742,-1.0,b247
32470000035889,ECL-NC,88,88,0.4861308976828151,-1.0,b247
32470000036099,RRLyr-RRc,160,159,0.1867656851987678,-1.0,b247
32470000036212,ECL-NC,127,126,1.0138024710203069,-1.0,b247
32470000028504,ECL-NC,133,132,0.4132257248144965,56125.609260098005,b247
32470000028834,ECL-C,44,44,0.1139107613363181,-1.0,b247
32470000029247,ECL-NC,126,125,0.1893715021425482,-1.0,b247
32470000029577,ECL-NC,114,114,0.1869445358562573,-1.0,b247
32470000027117,ECL-NC,134,134,0.2738902645497794,-1.0,b247
32470000027246,ECL-NC,58,58,0.2330714116526626,-1.0,b247
32470000027325,ECL-NC,119,119,0.1001999537159573,-1.0,b247
32470000027413,ECL-NC,92,91,0.7474800213985151,-1.0,b247
32470000028301,ECL-C,32,32,0.1263262803084006,-1.0,b247
32470000032523,RRLyr-RRc,47,133,0.2626485779369977,56461.13215208345,b247
32470000033053,ECL-NC,19,136,0.6354202680929584,56486.66941008954,b247
32470000033457,ECL-NC,115,114,0.2620913011795596,-1.0,b247
32470000031439,ECL-NC,89,89,0.2378017645884192,-1.0,b247
32470000031790,ECL-NC,68,68,0.4853651747249756,56137.113044543294,b247
32470000032396,ECL-NC,68,66,1.2966940643091027,-1.0,b247
32470000033806,ECL-NC,105,105,0.2454773249598884,-1.0,b247
32470000033814,ECL-C,134,133,0.3609664356813046,-1.0,b247
32470000033991,ECL-C,115,113,0.4881573714553366,-1.0,b247
32470000034331,ECL-NC,26,135,3.5605214142469195,56486.66941043467,b247
32470000034345,ECL-C,44,44,0.1801573185336752,-1.0,b247
32470000034588,ECL-NC,35,34,0.2056288762447163,-1.0,b247
32470000034593,RRLyr-RRc,136,134,0.2595884149136706,56131.126639007896,b247
32470000034594,ECL-NC,37,37,3.345628895584721,-1.0,b247
32470000029723,ECL-NC,114,114,0.2897566641419737,-1.0,b247
32470000030070,ECL-NC,135,135,0.159826530446202,-1.0,b247
32470000030900,ECL-C,85,85,0.1341380857983325,-1.0,b247
32470000037869,ECL-NC,111,109,0.1421036269752083,-1.0,b247
32470000037917,ECL-NC,109,109,0.1022407587218377,-1.0,b247
32470000038184,ECL-NC,204,200,0.223551681754626,56486.66923866606,b247
