id,hjd,mag,err,synthetic
32780000005228,56798.31308195601,14.286,0.042,False
32780000005228,56810.212169497216,14.289,0.039,False
32780000005228,56534.10102824827,14.32,0.036,False
32780000005228,56484.17953023523,14.339,0.033,False
32780000005228,57273.05350680435,14.344,0.041,False
32780000005228,56527.13780931924,14.346,0.035,False
32780000005228,56367.31788522539,14.346,0.037,False
32780000005228,56527.1369996268,14.354,0.039,False
32780000005228,55309.237921345215,14.355,0.035,False
32780000005228,56484.178719449614,14.357,0.035,False
32780000005228,56779.42164219495,14.357,0.048,False
32780000005228,56020.28709511888,14.367,0.039,False
32780000005228,56367.317110708886,14.368,0.039,False
32780000005228,56799.1275328887,14.368,0.05,False
32780000005228,56534.10022660005,14.37,0.039,False
32780000005228,56572.03102906882,14.373,0.041,False
32780000005228,55824.08367656013,14.374,0.039,False
32780000005228,56366.3288849742,14.379,0.04,False
32780000005228,56095.11836593385,14.382,0.038,False
32780000005228,55309.23730177176,14.383,0.038,False
32780000005228,56020.287889506,14.383,0.043,False
32780000005228,56141.10815388495,14.389,0.035,False
32780000005228,56506.99633399035,14.392,0.036,False
32780000005228,56126.09467696842,14.397,0.04,False
32780000005228,56373.37822590611,14.398,0.038,False
32780000005228,56095.11753116592,14.398,0.04,False
32780000005228,56487.2077078634,14.4,0.04,False
32780000005228,57268.01533790158,14.401,0.04,False
32780000005228,56140.12665161079,14.401,0.038,False
32780000005228,56506.99555716908,14.402,0.041,False
32780000005228,56127.03552147585,14.402,0.043,False
32780000005228,57241.178827266514,14.403,0.044,False
32780000005228,56373.3773429982,14.404,0.038,False
32780000005228,56129.16303475462,14.408,0.039,False
32780000005228,56141.10904619012,14.411,0.037,False
32780000005228,56559.000801454175,14.412,0.042,False
32780000005228,55824.08285707969,14.414,0.045,False
32780000005228,57268.01611005053,14.415,0.042,False
32780000005228,56366.32809150395,14.416,0.043,False
32780000005228,56130.19272268845,14.417,0.038,False
32780000005228,56560.04845067226,14.424,0.043,False
32780000005228,56127.03464171288,14.428,0.045,False
32780000005228,57274.02202117209,14.43,0.04,False
32780000005228,56130.19188605819,14.432,0.041,False
32780000005228,56126.0938428825,14.433,0.04,False
32780000005228,56572.03645307759,14.434,0.043,False
32780000005228,56140.127478370254,14.434,0.039,False
32780000005228,55780.20152684248,14.442,0.044,False
32780000005228,57273.05281511029,14.448,0.045,False
32780000005228,56717.38972312447,14.45,0.044,False
32780000005228,56560.04927985077,14.45,0.043,False
32780000005228,57113.40910341357,14.45,0.042,False
32780000005228,56717.390559733074,14.451,0.042,False
32780000005228,56129.163860477405,14.455,0.04,False
32780000005228,56487.2084809065,14.457,0.041,False
32780000005228,56004.29904818424,14.457,0.049,False
32780000005228,57274.02129579194,14.462,0.042,False
32780000005228,56798.31224525303,14.471,0.042,False
32780000005228,57241.1781802,14.474,0.047,False
32780000005228,56559.001621052565,14.475,0.045,False
32780000005228,56197.03360584329,14.482,0.046,False
32780000005228,56115.09809218087,14.493,0.041,False
32780000005228,56195.04079666056,14.497,0.04,False
32780000005228,56509.04408365051,14.5,0.041,False
32780000005228,56114.081723989904,14.504,0.041,False
32780000005228,56102.07050191479,14.51,0.046,False
32780000005228,55780.20229721057,14.511,0.045,False
32780000005228,56004.29829633995,14.511,0.048,False
32780000005228,56197.03439444393,14.512,0.045,False
32780000005228,56195.0399740526,14.515,0.042,False
32780000005228,56196.025588111945,14.524,0.046,False
32780000005228,56509.04328550216,14.524,0.043,False
32780000005228,57113.40826304118,14.524,0.046,False
32780000005228,55839.02522762777,14.529,0.044,False
32780000005228,56114.0825031927,14.532,0.041,False
32780000005228,56115.09724558094,14.544,0.043,False
32780000005228,55806.09230867732,14.545,0.049,False
