bm_src_id,vs_type,obs_threshold,cnt,PeriodLS,median_hjd
32280000001038,RRLyr-RRab,62,65,0.1782593955581195,56423.407311919385
32280000043669,RRLyr-RRab,29,69,0.4456502549169875,56423.40736638416
32280000047578,RRLyr-RRab,45,68,0.4742923923704741,56423.407365929
32280000060562,RRLyr-RRab,27,68,0.5210840033354999,56423.40732310026
32280000091868,RRLyr-RRab,16,69,0.5916576185124528,56430.409256850246
32280000112610,RRLyr-RRab,20,68,0.5728020771455415,56430.409247106545
32280000131863,RRLyr-RRab,69,69,0.5606420179152957,56180.15852836197
32280000136892,RRLyr-RRab,68,67,0.5158456164154072,55820.15584210326
32280000146496,RRLyr-RRab,22,69,0.6240955519230474,56423.40732136602
32280000165719,RRLyr-RRab,21,69,0.5764026118382364,56423.40729080954
32280000171659,RRLyr-RRab,19,69,0.5772088617975486,56423.40732414187
32280000188548,RRLyr-RRab,33,68,0.5859515746503428,56423.40735251905
32280000194443,RRLyr-RRab,15,69,0.5635131076867559,56423.407338034674
32280000207777,RRLyr-RRab,17,68,0.6554024880065713,56423.40735566157
32280000191970,RRLyr-RRab,31,68,0.6110795163485476,56423.40734627829
32280000211561,RRLyr-RRab,20,68,0.6513506065847291,56430.40923710036
32280000216086,RRLyr-RRab,21,68,0.4847153895874053,56423.40733782214
32280000225668,RRLyr-RRab,20,68,0.5506971449600179,56430.40923277316
32280000282289,RRLyr-RRab,20,69,0.5521709329499086,56423.407301686886
32280000305771,RRLyr-RRab,15,69,0.5281142526694358,56423.40727465093
32280000317990,RRLyr-RRab,26,68,0.5182752141005638,56423.40733591802
32280000362388,RRLyr-RRab,11,68,0.5758328827905841,56430.40922171168
32280000364344,RRLyr-RRab,17,69,0.5636734879083881,56423.40731976967
32280000381342,RRLyr-RRab,18,68,0.5826422222656664,56430.409260621906
32280000379713,RRLyr-RRab,21,68,0.5838788848127017,56423.40726292844
32280000391589,RRLyr-RRab,13,68,0.5161951868161635,56430.409229989804
32280000430130,RRLyr-RRab,24,68,0.5938573182630047,56423.40726019988
32280000546448,RRLyr-RRab,17,68,0.6019060293160416,56430.409260057975
