bm_src_id,vs_type,obs_threshold,cnt,PeriodLS,median_hjd
32060000010787,RRLyr-RRab,41,68,0.4524747802062713,56382.36782464091
32060000010888,RRLyr-RRab,28,68,0.589254091054908,56428.295096671514
32060000016652,RRLyr-RRab,50,67,0.5538172415779992,56474.22240375897
32060000030175,RRLyr-RRab,21,67,0.5806770904906073,56378.36082999744
32060000041863,RRLyr-RRab,33,67,0.5235944674526745,56474.22240626758
32060000045930,RRLyr-RRab,39,67,0.5452971126047609,56428.295091435124
32060000048316,RRLyr-RRab,47,67,0.463347184293341,56428.295068984655
32060000048467,RRLyr-RRab,50,66,0.4848703632404536,56428.2950647673
32060000051885,RRLyr-RRab,34,67,0.5319040512186556,56428.29508446376
32060000052092,RRLyr-RRab,24,67,0.6024396546568153,56428.295119101705
32060000067235,RRLyr-RRab,46,68,0.519372024926939,56428.29507699248
32060000064828,RRLyr-RRab,67,64,0.3557630551011906,56428.29511102932
32060000077110,RRLyr-RRab,22,68,0.5696659477431939,56428.295113879125
32060000079958,RRLyr-RRab,20,67,0.5729451809047331,56428.295102874254
32060000118724,RRLyr-RRab,29,67,0.5382966772647955,56382.36778031554
32060000144875,RRLyr-RRab,39,67,0.4442736703306293,56474.22241325131
32060000155828,RRLyr-RRab,34,67,0.6939069603319659,56428.29510164421
32060000159221,RRLyr-RRab,23,67,0.5036047286290676,56474.22241323565
32060000155145,RRLyr-RRab,27,65,0.5919799531991484,56428.2950942232
32060000153653,RRLyr-RRab,35,67,0.4069531159906223,56378.3608681535
32060000162132,RRLyr-RRab,21,67,0.5836003585004444,56428.29510087433
32060000170076,RRLyr-RRab,19,67,0.73080691852133,56428.29506084896
32060000171821,RRLyr-RRab,27,67,0.6862711175620116,56428.29511205046
32060000171151,RRLyr-RRab,28,67,0.5970374073455047,56428.29507233256
32060000163021,RRLyr-RRab,41,67,0.7469839227328802,56428.29508373131
32060000182005,RRLyr-RRab,33,66,0.8137963799668496,56474.22241593258
32060000260681,RRLyr-RRab,31,68,0.4754879927207069,56428.29509279576
32060000300184,RRLyr-RRab,28,67,0.6018141774831136,56428.29510777857
32060000305341,RRLyr-RRab,34,67,0.5604319834613976,56428.29508045064
32060000309668,RRLyr-RRab,23,67,0.6007501534588312,56428.29509698031
32060000316730,RRLyr-RRab,56,55,0.2006355191400793,56426.29162109773
32060000332402,RRLyr-RRab,24,68,0.5410454740410755,56428.295090327316
32060000334567,RRLyr-RRab,20,67,0.5950903436273801,56428.295077279094
32060000348257,RRLyr-RRab,30,68,0.5128306335974984,56428.295088134095
32060000350024,RRLyr-RRab,19,67,0.5203319446749198,56428.295074135924
32060000354253,RRLyr-RRab,47,67,0.4752128077927212,56428.295105773504
32060000357955,RRLyr-RRab,21,68,0.4895679325916443,56428.29510254174
32060000363722,RRLyr-RRab,18,68,0.7015647677602583,56428.29508803705
32060000370081,RRLyr-RRab,14,67,0.5892541000938166,56428.29510126352
32060000374502,RRLyr-RRab,25,68,0.5717815796907665,56428.29508976037
32060000382806,RRLyr-RRab,29,67,0.5420276167382982,56428.295084662226
32060000441076,RRLyr-RRab,53,67,0.5392098591886823,56428.29507756219
32060000459028,RRLyr-RRab,38,67,0.5834967122784712,56428.29508385377
32060000465697,RRLyr-RRab,26,68,0.5601134138292374,56428.295088397565
32060000466222,RRLyr-RRab,20,67,0.5414914608702361,56428.29509167136
32060000474380,RRLyr-RRab,24,68,0.5995074495350601,56428.29509772685
32060000484375,RRLyr-RRab,10,67,0.5549088531589466,56428.29509270385
