bm_src_id,vs_type,obs_threshold,cnt,PeriodLS,median_hjd,tile
32770000004720,ECL-NC,22,111,0.1956824941480485,56370.35031449713,b277
32770000004833,LPV-OSARG,112,110,0.1192005321342292,56370.35074055078,b277
32770000004946,LPV-OSARG,112,109,0.3864253794586312,56370.3503323024,b277
32770000004951,LPV-OSARG,111,111,0.256538050116085,56370.35033213672,b277
32770000005119,LPV-OSARG,106,110,0.3149691988601471,56370.350511091565,b277
32770000005135,LPV-OSARG,112,110,0.134035288093394,56370.35074110125,b277
32770000005171,ECL-C,86,85,0.1885400744659347,-1.0,b277
32770000005256,ECL-NC,112,111,0.1275284848416009,56129.16615476536,b277
32770000001896,ECL-C,54,52,0.2279036691112678,-1.0,b277
32770000001956,ECL-ELL,67,107,0.9969840446585594,56367.32023056995,b277
32770000002848,ECL-NC,58,58,0.1060790512576999,-1.0,b277
32770000002914,ECL-NC,105,103,0.1264196809118961,-1.0,b277
32770000002942,ECL-C,36,36,0.3707346594377353,-1.0,b277
32770000003392,ECL-NC,75,168,0.8111105255127253,56367.32066080006,b277
32770000003421,ECL-C,86,85,0.249327360752188,-1.0,b277
32770000003465,LPV-OSARG,38,55,1.2948051773866271,56370.35098118348,b277
32770000003562,ECL-NC,112,111,0.228499678861756,-1.0,b277
32770000003969,LPV-OSARG,112,109,0.1065554104271004,56370.350308665234,b277
32770000004238,LPV-OSARG,55,56,0.193615728703615,56370.35097949785,b277
32770000004323,ECL-NC,42,42,0.1288592758533942,-1.0,b277
32770000004368,ECL-NC,104,103,0.3691975753683795,56140.12941666104,b277
32770000005774,RRLyr-RRc,107,104,0.46890922704042,56196.02771645459,b277
32770000005776,RRLyr-RRc,23,163,0.1044927920037383,56417.27414090511,b277
32770000005916,LPV-OSARG,112,109,0.1012978663886685,56370.350765633935,b277
32770000005933,ECL-NC,112,111,1.23657941329437,-1.0,b277
32770000006091,ECL-NC,88,88,0.2245860634675262,-1.0,b277
32770000006126,LPV-OSARG,56,54,1.0640411833373955,56370.35097784245,b277
32770000006265,ECL-NC,56,54,1.2109222764954544,56370.350977350245,b277
32770000006438,ECL-C,77,77,0.3142175465638034,-1.0,b277
32770000006493,ECL-NC,56,56,0.1195556732858304,-1.0,b277
32770000006494,ECL-NC,100,100,0.1725574869707027,-1.0,b277
32770000006497,ECL-NC,62,62,0.5896948304360022,-1.0,b277
32770000006502,LPV-OSARG,104,112,0.1010919616025367,56370.35026435105,b277
32770000006526,ECL-NC,112,111,0.1623347413045942,56195.04346292939,b277
32770000006534,ECL-ELL,110,112,0.1107785915602699,56370.35076507466,b277
32770000006666,ECL-C,92,92,0.1397074417438329,-1.0,b277
32770000006805,LPV-OSARG,95,112,1.1669696676703245,56370.350508579824,b277
32770000008006,ECL-ELL,163,162,0.3053809529907832,56373.38123328161,b277
32770000008074,LPV-OSARG,112,110,0.1782420524836642,56370.35076275417,b277
32770000008103,ECL-NC,112,111,3.3334432841838693,56281.68398453721,b277
32770000008270,ECL-NC,71,71,0.1487092801688314,-1.0,b277
32770000008469,ECL-NC,95,95,0.1532177837213795,-1.0,b277
32770000008533,LPV-OSARG,166,163,0.1792295860690524,56373.38040817591,b277
32770000008588,ECL-NC,162,161,0.3872096370274943,-1.0,b277
32770000008663,RRLyr-RRab,19,56,0.547016196632093,56366.33080108414,b277
32770000008681,ECL-NC,80,79,0.3165637584611497,-1.0,b277
32770000008695,LPV-OSARG,168,164,0.1688124499067669,56370.350538131854,b277
32770000008873,LPV-OSARG,112,107,0.4579312233701427,56370.3505316407,b277
32770000008967,LPV-OSARG,110,108,0.205172735118163,56370.35026482388,b277
32770000007042,LPV-OSARG,112,109,0.237871104520412,56370.35071609105,b277
32770000007350,ECL-ELL,56,55,0.255395737046719,56195.042750105626,b277
32770000007735,ECL-ELL,112,112,0.2453686771836934,56312.64667947299,b277
32770000010379,ECL-NC,35,111,6.655619481221573,56367.3206595774,b277
32770000010413,RRLyr-RRc,128,165,0.1036712982056986,56367.32000662145,b277
32770000010466,ECL-NC,168,167,0.1602644355867361,56197.03714094729,b277
32770000010553,LPV-OSARG,53,54,0.1993499570934581,56370.35006072859,b277
32770000010628,LPV-OSARG,168,165,1.0774070511835467,56370.35048212296,b277
32770000010676,LPV-OSARG,112,110,0.1648710247643975,56370.35033294086,b277
32770000010851,ECL-NC,112,109,0.1115504794170691,56140.13027841484,b277
32770000010931,LPV-OSARG,112,110,3.889536093728858,56370.35076645941,b277
32770000010989,ECL-NC,43,167,7.511135658715072,56370.3505462805,b277
32770000011143,ECL-C,104,103,1.1700363023453533,-1.0,b277
32770000011325,ECL-NC,81,81,0.2462086129644085,-1.0,b277
32770000011500,LPV-OSARG,112,110,0.1924441109916363,56370.35074072066,b277
32770000011625,ECL-NC,63,62,0.3791694497027377,-1.0,b277
32770000011668,LPV-OSARG,168,166,0.161487959228143,56370.35053018485,b277
32770000011713,LPV-SRV,56,55,0.1970475552449436,56370.35006346644,b277
32770000011893,ECL-NC,112,110,1.544920110956295,-1.0,b277
32770000011919,ECL-NC,66,66,0.1027066270975586,-1.0,b277
32770000009149,LPV-OSARG,168,164,0.4570804999516099,56370.35049825956,b277
32770000009209,ECL-ELL,86,85,0.2473681375058533,-1.0,b277
32770000009237,LPV-OSARG,56,54,0.1306726247592766,56370.35006379499,b277
32770000009267,ECL-NC,87,87,0.244822475726586,-1.0,b277
32770000009285,ECL-NC,80,80,7.93525503154234,-1.0,b277
32770000009302,ECL-NC,31,31,0.1048605386030908,-1.0,b277
32770000009427,ECL-C,47,47,0.4054978299030378,-1.0,b277
32770000009514,ECL-NC,108,106,0.1548366866943537,-1.0,b277
32770000010009,LPV-OSARG,99,111,0.8015146703974255,56370.35051321141,b277
32770000012445,RRLyr-RRc,112,111,0.3411123999861281,56141.111716025065,b277
32770000012725,LPV-OSARG,112,110,0.1032545224603256,56370.35033498159,b277
32770000012796,ECL-NC,105,105,0.4242863171138679,-1.0,b277
32770000012836,ECL-NC,19,112,0.400118423847508,56370.3505127054,b277
32770000012888,LPV-OSARG,112,109,0.2121130100764546,56370.350713551394,b277
32770000013020,ECL-NC,97,95,0.1111777160105299,-1.0,b277
32770000013157,LPV-OSARG,166,168,0.1972222069426683,56370.35051400126,b277
32770000013164,ECL-NC,29,110,0.2691055496189325,56367.320641087405,b277
32770000013256,ECL-NC,37,112,0.1965918280684631,56141.111327103165,b277
32770000013457,ECL-C,43,160,0.1761665401940609,56373.38122482965,b277
32770000015703,LPV-OSARG,49,55,0.2781771169091688,56370.35006460818,b277
32770000015995,ECL-NC,56,54,0.1687118326023307,-1.0,b277
32770000016125,ECL-NC,112,112,1.028120282611223,-1.0,b277
32770000016242,LPV-OSARG,110,108,14.683162685808378,56373.38055042164,b277
32770000016444,LPV-OSARG,112,110,0.1219271322273258,56370.350740186506,b277
32770000016608,ECL-C,110,109,0.1376971817741337,-1.0,b277
32770000016648,ECL-NC,39,39,0.2276428263506918,-1.0,b277
32770000016660,ECL-NC,111,112,0.1185205507678722,56370.350689878585,b277
32770000013598,LPV-OSARG,112,110,0.1024477966284558,56370.35033415729,b277
32770000013674,LPV-OSARG,112,111,0.7890676822717164,56370.3507613472,b277
32770000013940,LPV-OSARG,112,109,0.1024949880140642,56370.35033253607,b277
32770000013961,ECL-C,45,44,0.9544423736139594,-1.0,b277
32770000014036,ECL-NC,39,38,0.1432851698207607,-1.0,b277
32770000014087,ECL-NC,39,55,0.3159589891153047,56370.35006434303,b277
32770000014305,ECL-NC,110,109,0.1342335367806546,-1.0,b277
32770000014461,ECL-NC,34,33,0.125714642522087,-1.0,b277
32770000014473,ECL-NC,102,101,0.1217366559613602,-1.0,b277
32770000028849,ECL-NC,74,108,0.539566068063286,56197.03653779739,b277
32770000028864,ECL-NC,112,110,0.7974808229086076,-1.0,b277
32770000028983,RRLyr-RRab,24,112,0.6030843573413729,56366.82557628132,b277
32770000029166,ECL-ELL,56,55,0.2317507666221723,56370.35005779064,b277
32770000029281,LPV-OSARG,112,110,0.1667381499330888,56370.35048762927,b277
32770000029317,ECL-NC,81,80,0.1504297383407991,-1.0,b277
32770000029378,ECL-NC,112,111,0.2428259066505457,-1.0,b277
32770000029459,ECL-NC,78,78,0.1128320528936875,-1.0,b277
32770000029546,ECL-NC,87,86,0.1994563522780986,56128.10645117919,b277
32770000029658,RRLyr-RRc,56,56,0.2627600301988463,-1.0,b277
32770000029688,ECL-NC,112,111,0.6029289002677252,-1.0,b277
32770000029697,LPV-OSARG,112,110,10.243212098037526,56370.35033254581,b277
32770000029731,LPV-OSARG,112,109,0.1406786292490845,56370.35048583196,b277
32770000016818,RRLyr-RRab,46,112,0.5859255598067186,56198.06515358627,b277
32770000016834,LPV-OSARG,60,112,0.1399500011461442,56370.350331793175,b277
32770000016860,ECL-NC,112,111,0.1793258108918218,-1.0,b277
32770000017261,ECL-NC,112,110,0.248842927274529,56370.350760155874,b277
32770000017462,ECL-NC,56,55,0.2100873130204519,-1.0,b277
32770000017580,ECL-NC,112,110,0.1177978289505569,56370.350506401286,b277
32770000017599,LPV-OSARG,89,110,1.8540416550189287,56370.35076160044,b277
32770000017682,LPV-OSARG,163,166,0.6576837585893754,56370.35049816252,b277
32770000014618,LPV-OSARG,112,109,0.1704155215423651,56370.350691240645,b277
32770000014919,ECL-NC,94,94,3.2854159343977773,-1.0,b277
32770000014941,ECL-NC,80,80,0.1039247912407402,-1.0,b277
32770000015005,ECL-NC,84,161,1.589302690988716,56195.04351942644,b277
32770000015146,ECL-NC,87,86,0.2843791660770284,-1.0,b277
32770000015272,ECL-NC,55,55,0.3553071886951761,-1.0,b277
32770000015361,LPV-OSARG,112,111,0.1170823398539974,56370.35076238975,b277
32770000015394,ECL-NC,14,112,0.475854273332735,56196.02771949007,b277
32770000015463,ECL-NC,109,109,0.2117335208503176,-1.0,b277
32770000018933,LPV-OSARG,111,109,0.1182567078663858,56370.35068979301,b277
